"Read","Whitelisting","Marshalling","Time check","DB store"
296, 3, 834, 11, 8506
361, 5, 292, 11, 6199
560, 7, 436, 14, 6890
555, 7, 423, 14, 6539
532, 7, 443, 14, 6915
513, 7, 426, 14, 6994
490, 8, 411, 14, 6815
516, 7, 402, 24, 6879
503, 7, 388, 13, 7084
512, 7, 417, 13, 6904
513, 7, 405, 13, 7008
531, 7, 408, 13, 10840
497, 7, 408, 25, 6994
519, 7, 413, 14, 8945
505, 7, 400, 13, 6770
502, 7, 522, 13, 9641
468, 7, 401, 13, 6880
495, 7, 399, 13, 6254
470, 7, 419, 14, 6925
531, 11, 585, 14, 5938
482, 7, 416, 14, 6827
507, 7, 571, 26, 6513
494, 7, 383, 13, 6801
533, 9, 405, 13, 9204
493, 19, 385, 13, 5911
536, 7, 412, 13, 6275
515, 7, 394, 13, 7056
531, 7, 419, 14, 7021
515, 7, 392, 13, 9561
587, 7, 494, 13, 6643
527, 7, 420, 14, 6593
546, 8, 405, 13, 6935
521, 7, 386, 13, 6986
556, 8, 401, 13, 6594
481, 7, 415, 14, 6226
533, 7, 403, 19, 6113
508, 11, 409, 14, 6510
506, 7, 436, 14, 6613
515, 8, 386, 14, 6542
512, 7, 431, 14, 6697
478, 7, 410, 14, 9547
546, 7, 400, 13, 6794
535, 8, 398, 13, 6078
542, 8, 401, 13, 6811
501, 8, 414, 14, 6409
531, 7, 400, 14, 6826
522, 8, 385, 26, 6304
526, 8, 399, 13, 9697
521, 8, 386, 13, 6934
559, 8, 476, 14, 6195
501, 7, 387, 13, 6884
561, 7, 402, 13, 6325
493, 7, 427, 14, 6498
544, 8, 398, 14, 9203
532, 7, 385, 13, 6891
548, 7, 403, 25, 9408
482, 7, 406, 14, 6767
547, 7, 401, 14, 6700
522, 19, 399, 13, 6910
547, 7, 401, 13, 6170
523, 7, 395, 14, 6722
546, 19, 412, 13, 6422
538, 8, 394, 13, 6767
572, 9, 413, 13, 9650
498, 7, 429, 14, 6419
588, 7, 482, 13, 6426
488, 7, 418, 14, 6904
522, 8, 438, 14, 10632
498, 7, 389, 13, 6050
517, 7, 403, 31, 6511
513, 7, 393, 13, 6298
537, 7, 411, 13, 6604
1453, 10, 439, 14, 7068
536, 7, 443, 14, 6162
522, 7, 396, 13, 5819
523, 7, 397, 13, 6369
519, 8, 385, 13, 7149
494, 7, 397, 14, 6824
501, 7, 385, 13, 6893
569, 8, 445, 14, 6397
482, 7, 408, 26, 12332
524, 7, 401, 13, 6331
576, 10, 395, 14, 6690
532, 8, 410, 13, 7205
517, 7, 385, 13, 7174
532, 7, 402, 13, 7252
501, 8, 445, 16, 7258
493, 33, 407, 13, 7276
509, 8, 386, 13, 6504
495, 7, 436, 26, 6769
557, 8, 425, 14, 6895
497, 7, 434, 35, 9845
524, 19, 386, 13, 7029
538, 7, 402, 13, 6504
475, 7, 420, 13, 12346
546, 19, 404, 14, 16190
565, 8, 405, 15, 6833
531, 7, 403, 13, 6990
531, 7, 389, 13, 6938
551, 8, 409, 14, 7255
479, 7, 384, 13, 6908
543, 8, 397, 13, 7120
505, 7, 383, 13, 6543
530, 8, 398, 13, 6983
519, 7, 390, 13, 7261
528, 7, 404, 14, 6344
479, 7, 448, 14, 6913
508, 7, 428, 14, 7295
505, 7, 412, 13, 6722
508, 7, 456, 14, 7175
476, 7, 417, 14, 6640
546, 8, 399, 13, 6538
491, 7, 418, 14, 6474
535, 7, 399, 13, 6869
553, 8, 391, 25, 7043
529, 7, 401, 13, 7052
516, 7, 391, 13, 6392
506, 8, 426, 14, 6147
492, 29, 389, 13, 5803
531, 8, 425, 14, 7623
545, 8, 413, 18, 6460
497, 7, 434, 14, 5934
487, 7, 406, 13, 6677
519, 7, 406, 41, 6609
515, 7, 387, 13, 6255
536, 7, 441, 14, 6048
484, 20, 390, 13, 7020
510, 7, 398, 13, 6655
491, 7, 381, 13, 6483
496, 20, 400, 34, 6171
466, 7, 408, 14, 6726
522, 7, 404, 13, 6489
480, 7, 418, 14, 6663
